,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Lyon,Rémy Riou,FRA,GK,34,1987,6.7,179,225,79.6,3959,3001,43,45,95.6,102,105,97.1,32,73,43.8,0,0.0,0.0,0.0,0,0,0,0,1
FRA-Ligue 1,2223,Lyon,Sael Kumbedi,FRA,DF,17,2005,14.7,653,794,82.2,9708,2434,365,403,90.6,236,290,81.4,31,58,53.4,2,1.2,1.5,0.8,10,30,9,3,40
FRA-Ligue 1,2223,Lyon,Sinaly Diomande,CIV,DF,21,2001,21.7,1257,1468,85.6,22048,7796,505,557,90.7,605,679,89.1,101,161,62.7,0,0.2,0.4,-0.2,3,96,3,1,108
FRA-Ligue 1,2223,Lyon,Tetê,BRA,"FW,MF",22,2000,12.3,378,499,75.8,5666,1276,203,234,86.8,138,180,76.7,18,49,36.7,2,1.3,2.3,0.7,10,25,18,3,52
FRA-Ligue 1,2223,Lyon,Thiago Mendes,BRA,"MF,DF",30,1992,22.9,1445,1672,86.4,26348,9319,568,619,91.8,658,709,92.8,163,263,62.0,1,0.6,1.8,0.4,10,156,13,0,170
FRA-Ligue 1,2223,Marseille,Alexis Sánchez,CHI,"FW,MF",33,1988,29.8,681,934,72.9,11500,2775,320,426,75.1,238,306,77.8,76,105,72.4,3,5.8,5.1,-2.8,55,65,64,5,127
FRA-Ligue 1,2223,Marseille,Amine Harit,MAR,"MF,FW",25,1997,5.7,221,271,81.5,3186,969,133,154,86.4,61,70,87.1,13,22,59.1,0,1.5,1.6,-1.5,15,21,16,1,38
FRA-Ligue 1,2223,Marseille,Arkadiusz Milik,POL,FW,28,1994,1.4,28,37,75.7,311,43,14,18,77.8,9,11,81.8,0,0,,0,0.2,0.0,-0.2,1,2,0,0,1
FRA-Ligue 1,2223,Marseille,Azzedine Ounahi,MAR,"MF,FW",22,2000,1.3,87,94,92.6,1264,252,49,51,96.1,24,27,88.9,6,6,100.0,0,0.2,0.1,-0.2,1,9,0,0,5
FRA-Ligue 1,2223,Marseille,Bamba Dieng,SEN,"FW,MF",22,2000,2.2,27,43,62.8,367,34,18,26,69.2,5,9,55.6,2,2,100.0,0,0.1,0.1,-0.1,2,1,2,1,1
FRA-Ligue 1,2223,Marseille,Cengiz Ünder,TUR,"MF,DF",25,1997,27.7,778,1114,69.8,13245,4270,405,484,83.7,255,366,69.7,89,182,48.9,4,7.9,7.4,-3.9,55,71,50,18,115
FRA-Ligue 1,2223,Marseille,Chancel Mbemba,COD,DF,27,1994,31.7,1441,1742,82.7,26456,7943,537,597,89.9,744,853,87.2,126,211,59.7,0,0.5,1.3,-0.5,5,127,23,6,183
FRA-Ligue 1,2223,Marseille,Cédric Bakambu,COD,MF,31,1991,0.7,19,23,82.6,263,56,12,13,92.3,4,5,80.0,1,1,100.0,1,1.0,0.7,0.0,2,1,0,0,0
FRA-Ligue 1,2223,Marseille,Dimitri Payet,FRA,"MF,FW",35,1987,9.3,386,520,74.2,7048,2234,173,210,82.4,146,187,78.1,53,89,59.6,3,3.5,3.4,-0.5,31,37,28,1,71
FRA-Ligue 1,2223,Marseille,Duje Ćaleta-Car,CRO,DF,25,1996,0.1,2,2,100.0,46,16,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2223,Marseille,Eric Bailly,CIV,DF,28,1994,6.0,231,274,84.3,4679,1676,72,82,87.8,118,141,83.7,38,45,84.4,0,0.0,0.0,0.0,0,17,0,0,12
FRA-Ligue 1,2223,Marseille,François Mughe,CMR,MF,18,2004,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2223,Marseille,Gerson,BRA,MF,25,1997,4.6,150,185,81.1,2156,576,87,97,89.7,47,59,79.7,7,12,58.3,0,0.3,0.5,-0.3,4,15,4,0,21
FRA-Ligue 1,2223,Marseille,Issa Kaboré,BFA,DF,21,2001,11.4,436,567,76.9,6207,2017,252,291,86.6,138,181,76.2,22,47,46.8,0,0.9,1.3,-0.9,13,23,16,6,54
