,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,Union Berlin,Dominique Heintz,GER,DF,27,1993,7,7,467,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,24,4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05
GER-Bundesliga,2122,Union Berlin,Frederik Rønnow,DEN,GK,28,1992,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Union Berlin,Genki Haraguchi,JPN,MF,30,1991,30,23,1755,19.5,2,6,8,2,0,0,2,0,2.1,2.1,1.6,3.7,40,67,45,0.1,0.31,0.41,0.1,0.41,0.11,0.08,0.19,0.11,0.19
GER-Bundesliga,2122,Union Berlin,Grischa Prömel,GER,MF,26,1995,29,28,2422,26.9,8,1,9,8,0,0,4,0,6.3,6.3,1.1,7.3,27,95,72,0.3,0.04,0.33,0.3,0.33,0.23,0.04,0.27,0.23,0.27
GER-Bundesliga,2122,Union Berlin,Julian Ryerson,NOR,DF,23,1997,28,13,1429,15.9,2,0,2,2,0,0,3,0,1.3,1.3,1.5,2.8,30,50,50,0.13,0.0,0.13,0.13,0.13,0.08,0.09,0.18,0.08,0.18
GER-Bundesliga,2122,Union Berlin,Keita Endo,JPN,MF,23,1997,4,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,12,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.17,0.12,0.17
GER-Bundesliga,2122,Union Berlin,Kevin Behrens,GER,FW,30,1991,24,2,499,5.5,2,2,4,2,0,0,1,0,2.4,2.4,1.6,4.0,9,16,48,0.36,0.36,0.72,0.36,0.72,0.44,0.29,0.73,0.44,0.73
GER-Bundesliga,2122,Union Berlin,Kevin Möhwald,GER,MF,28,1993,16,3,354,3.9,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.1,5,25,13,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.29,0.15,0.29
GER-Bundesliga,2122,Union Berlin,Levin Öztunalı,GER,MF,25,1996,18,5,572,6.4,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,8,18,37,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18
GER-Bundesliga,2122,Union Berlin,Marcus Ingvartsen,DEN,MF,25,1996,2,2,122,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,4,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
GER-Bundesliga,2122,Union Berlin,Marvin Friedrich,GER,DF,25,1995,13,13,1169,13.0,0,0,0,0,0,0,4,1,1.1,1.1,0.9,1.9,6,38,6,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.15,0.08,0.15
GER-Bundesliga,2122,Union Berlin,Max Kruse,GER,"FW,MF",33,1988,16,16,1270,14.1,5,4,9,2,3,3,1,0,4.6,2.2,4.1,6.3,18,62,90,0.35,0.28,0.64,0.14,0.43,0.32,0.29,0.62,0.16,0.45
GER-Bundesliga,2122,Union Berlin,Niko Gießelmann,GER,"DF,FW",29,1991,28,25,2083,23.1,3,6,9,3,0,0,3,0,3.4,3.4,1.6,5.0,19,80,81,0.13,0.26,0.39,0.13,0.39,0.14,0.07,0.22,0.14,0.22
GER-Bundesliga,2122,Union Berlin,Paul Jaeckel,GER,DF,23,1998,24,22,2047,22.7,0,0,0,0,0,0,5,0,0.1,0.1,0.6,0.6,13,71,5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03
GER-Bundesliga,2122,Union Berlin,Rani Khedira,GER,MF,27,1994,32,32,2757,30.6,0,1,1,0,0,0,6,0,1.0,1.0,0.7,1.7,17,91,42,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.06,0.03,0.06
GER-Bundesliga,2122,Union Berlin,Robin Knoche,GER,DF,29,1992,33,33,2970,33.0,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.7,14,102,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
GER-Bundesliga,2122,Union Berlin,Sebastian Griesbeck,GER,MF,30,1990,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Union Berlin,Sheraldo Becker,SUR,"FW,MF",26,1995,28,22,1758,19.5,4,6,10,4,0,0,4,0,2.4,2.4,6.8,9.1,82,58,195,0.2,0.31,0.51,0.2,0.51,0.12,0.35,0.47,0.12,0.47
GER-Bundesliga,2122,Union Berlin,Sven Michel,GER,FW,31,1990,13,2,338,3.8,3,1,4,3,0,0,2,0,1.5,1.5,0.9,2.3,9,7,45,0.8,0.27,1.07,0.8,1.07,0.39,0.23,0.62,0.39,0.62
GER-Bundesliga,2122,Union Berlin,Taiwo Awoniyi,NGA,FW,23,1997,31,29,2174,24.2,15,1,16,13,2,2,1,0,13.6,12.0,2.4,14.4,36,51,171,0.62,0.04,0.66,0.54,0.58,0.56,0.1,0.66,0.5,0.6
GER-Bundesliga,2122,Union Berlin,Timo Baumgartl,GER,DF,25,1996,25,25,2166,24.1,1,2,3,1,0,0,5,0,1.5,1.5,1.0,2.5,7,103,14,0.04,0.08,0.12,0.04,0.12,0.06,0.04,0.1,0.06,0.1
GER-Bundesliga,2122,Wolfsburg,Admir Mehmedi,SUI,DF,30,1991,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Wolfsburg,Aster Vranckx,BEL,MF,18,2002,24,12,1141,12.7,2,0,2,2,0,0,2,0,2.6,2.6,1.8,4.5,17,37,23,0.16,0.0,0.16,0.16,0.16,0.21,0.15,0.35,0.21,0.35
