,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,2,14,4,28.6,1.63,0.47,0.14,0.5,18.1,0,0,0,1.4,1.4,0.1,0.6,0.6
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,1,18,3,16.7,0.72,0.12,0.06,0.33,13.6,0,0,0,1.9,1.9,0.1,-0.9,-0.9
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,1,37,5,13.5,1.42,0.19,0.03,0.2,18.2,0,0,0,2.1,2.1,0.06,-1.1,-1.1
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,10,78,31,39.7,4.08,1.62,0.09,0.23,13.3,0,3,3,13.5,11.2,0.14,-3.5,-4.2
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,1,16,3,18.8,1.89,0.35,0.06,0.33,11.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,0,9,1,11.1,0.76,0.08,0.0,0.0,16.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,0,17,2,11.8,1.1,0.13,0.0,0.0,12.9,0,0,0,1.4,1.4,0.08,-1.4,-1.4
